Filename	Years	Punctuation	Contractions	Register
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0157969.txt	0.002	0.027	0.001	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0131434.txt	0.007	0.768	0.237	NA
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+1795710.txt	0.0	0.009	0.001	IP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0154982.txt	0.003	0.144	0.055	SP
1+LY+SL+LY-LY-LY-LY+OL-SL-SL-SL+NNNN+0704923.txt	0.0	0.016	0.077	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+1442711.txt	0.0	0.029	0.001	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NYYY+1433607.txt	0.002	0.041	0.012	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0120263.txt	0.003	0.097	0.04	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0066257.txt	0.0	0.003	0.005	LY
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3198434.txt	0.001	0.026	0.01	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0168596.txt	0.018	0.359	0.082	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991051.txt	0.091	0.225	0.017	IN
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+1739496.txt	0.001	0.025	0.001	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993120.txt	0.004	0.04	0.005	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3056601.txt	0.001	0.026	0.011	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3131315.txt	0.001	0.048	0.023	OP
1+SP+IT+NA-SP-SP-SP+MA-IT-IT-IT+NNNN+0503515.txt	0.001	0.053	0.036	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0707417.txt	0.0	0.008	0.0	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0438139.txt	0.004	0.034	0.011	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0190991.txt	0.006	0.024	0.005	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992028.txt	0.001	0.008	0.002	IN
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0410815.txt	0.0	0.032	0.005	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0184853.txt	0.0	0.008	0.001	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0240671.txt	0.003	0.058	0.008	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990788.txt	0.076	0.229	0.031	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0217982.txt	0.0	0.038	0.013	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0099802.txt	0.0	0.028	0.002	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0216379.txt	0.007	0.047	0.005	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0535944.txt	0.0	0.232	0.092	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+1790647.txt	0.0	0.01	0.003	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+1397015.txt	0.006	0.05	0.006	IP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3084605.txt	0.003	0.092	0.026	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992809.txt	0.053	0.31	0.095	IN
1+SP+IT+NA-SP-SP-SP+SR-IT-IT-IT+NNNN+0691410.txt	0.001	0.024	0.01	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NYYY+0493405.txt	0.0	0.014	0.001	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0672490.txt	0.001	0.019	0.009	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0534333.txt	0.005	0.056	0.027	OP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3109290.txt	0.001	0.04	0.007	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993083.txt	0.0	0.028	0.006	IN
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0115384.txt	0.0	0.015	0.014	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991694.txt	0.007	0.071	0.015	IN
1+SP+IT+OP-SP-SP-SP+OO-IT-IT-IT+NNNN+0265094.txt	0.0	0.055	0.017	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0043612.txt	0.0	0.033	0.001	LY
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0519283.txt	0.001	0.588	0.002	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0132713.txt	0.001	0.029	0.009	NA
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+1754951.txt	0.0	0.029	0.005	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991131.txt	0.004	0.079	0.025	IN
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3094833.txt	0.001	0.076	0.036	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0194895.txt	0.003	0.158	0.047	NA
1+LY+SL+LY-LY-LY-LY+OL-SL-SL-SL+NNNN+0622847.txt	0.0	0.009	0.011	LY
1+SP+IT+NA-SP-SP-SP+ON-IT-IT-IT+NNNN+3235165.txt	0.0	0.199	0.102	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992439.txt	0.0	0.024	0.004	IN
1+SP+IT+OP-SP-SP-SP+OB-IT-IT-IT+NNNN+0575118.txt	0.0	0.028	0.006	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0025596.txt	0.0	0.003	0.005	LY
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0479238.txt	0.007	0.177	0.057	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993928.txt	0.016	0.038	0.01	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3290614.txt	0.0	0.021	0.002	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3242020.txt	0.0	0.015	0.003	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3006341.txt	0.0	0.074	0.016	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0108129.txt	0.0	0.01	0.0	NA
1+SP+IT+NA-SP-SP-SP+ON-IT-IT-IT+NNNN+3077846.txt	0.005	0.092	0.036	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NYYY+0441230.txt	0.0	0.015	0.002	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0581754.txt	0.003	0.125	0.008	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0614714.txt	0.0	0.085	0.013	OP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0099692.txt	0.0	0.004	0.017	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0262412.txt	0.003	0.055	0.019	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3013943.txt	0.001	0.024	0.001	OP
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+0352261.txt	0.002	0.158	0.031	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992820.txt	0.009	0.059	0.042	IN
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+0405162.txt	0.0	0.027	0.014	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0413766.txt	0.0	0.047	0.025	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0173202.txt	0.0	0.041	0.014	NA
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0535976.txt	0.003	0.067	0.004	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3040274.txt	0.001	0.01	0.0	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3217380.txt	0.0	0.044	0.009	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+1753616.txt	0.001	0.035	0.015	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3323019.txt	0.003	0.058	0.009	OP
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+YNNN+3027032.txt	0.001	0.098	0.044	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0010667.txt	0.0	0.007	0.0	LY
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3320730.txt	0.001	0.108	0.026	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0089732.txt	0.001	0.04	0.006	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0231472.txt	0.001	0.025	0.014	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0269619.txt	0.006	0.052	0.016	NA
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0752826.txt	0.0	0.012	0.0	IP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+1792915.txt	0.001	0.08	0.014	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0290581.txt	0.001	0.032	0.008	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0404811.txt	0.0	0.037	0.009	OP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0089046.txt	0.0	0.005	0.016	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0167673.txt	0.001	0.053	0.007	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990399.txt	0.016	0.06	0.018	IN
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3002729.txt	0.0	0.147	0.071	SP
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+3080587.txt	0.0	0.283	0.123	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0262061.txt	0.0	0.011	0.003	LY
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993889.txt	0.068	0.278	0.114	IN
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0156383.txt	0.0	0.01	0.003	LY
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0200155.txt	0.0	0.005	0.002	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+1446992.txt	0.0	0.035	0.004	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3214890.txt	0.001	0.085	0.006	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+1397132.txt	0.001	0.04	0.01	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3226611.txt	0.0	0.022	0.0	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0451876.txt	0.0	0.012	0.002	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0113430.txt	0.015	0.304	0.056	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0072213.txt	0.0	0.015	0.001	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0017514.txt	0.001	0.078	0.018	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990947.txt	0.002	0.026	0.005	IN
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0112826.txt	0.0	0.057	0.009	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991481.txt	0.001	0.009	0.002	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991495.txt	0.001	0.092	0.009	IN
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0434890.txt	0.003	0.034	0.006	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0265431.txt	0.007	0.059	0.017	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992177.txt	0.001	0.028	0.001	IN
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3029625.txt	0.0	0.031	0.014	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0133432.txt	0.0	0.021	0.001	NA
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NYYY+1464614.txt	0.0	0.015	0.002	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993080.txt	0.004	0.023	0.006	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991867.txt	0.007	0.105	0.033	IN
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0543123.txt	0.002	0.062	0.032	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0247350.txt	0.0	0.017	0.015	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0112359.txt	0.001	0.018	0.009	NA
1+SP+IT+NA-SP-SP-SP+ON-IT-IT-IT+NNNN+0653579.txt	0.001	0.073	0.024	SP
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+3707076.txt	0.006	0.054	0.018	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+1754953.txt	0.0	0.018	0.004	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+3304240.txt	0.0	0.016	0.0	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990588.txt	0.009	0.045	0.007	IN
1+SP+IT+NA-SP-SP-SP+DP-IT-IT-IT+NNNN+3688089.txt	0.0	0.101	0.003	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+YYYY+0029114.txt	0.004	0.018	0.0	IP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0292032.txt	0.0	0.008	0.001	LY
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3199476.txt	0.001	0.009	0.004	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0520122.txt	0.0	0.085	0.012	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0101654.txt	0.0	0.042	0.008	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3232705.txt	0.0	0.064	0.007	OP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0300776.txt	0.0	0.078	0.016	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993532.txt	0.0	0.009	0.007	IN
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0041563.txt	0.0	0.005	0.008	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0189391.txt	0.0	0.012	0.001	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0160533.txt	0.003	0.048	0.015	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0154696.txt	0.003	0.03	0.008	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993283.txt	0.011	0.047	0.006	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0676623.txt	0.001	0.039	0.015	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0567577.txt	0.001	0.042	0.018	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3280941.txt	0.0	0.038	0.017	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0206882.txt	0.0	0.061	0.037	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0184070.txt	0.0	0.024	0.005	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993334.txt	0.0	0.009	0.0	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+1723480.txt	0.0	0.072	0.052	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992758.txt	0.026	0.565	0.074	IN
1+SP+IT+OP-SP-SP-SP+OB-IT-IT-IT+NNNN+3314167.txt	0.005	0.16	0.063	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0213388.txt	0.0	0.081	0.018	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0188851.txt	0.0	0.022	0.001	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+1717080.txt	0.019	0.489	0.212	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3212204.txt	0.001	0.03	0.005	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990198.txt	0.0	0.012	0.002	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991286.txt	0.002	0.012	0.0	IN
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0541319.txt	0.002	0.063	0.025	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+YYYY+0623514.txt	0.002	0.068	0.024	IP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0132610.txt	0.0	0.022	0.003	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0366390.txt	0.0	0.049	0.016	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0133590.txt	0.0	0.049	0.017	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0001231.txt	0.0	0.032	0.029	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0267838.txt	0.002	0.069	0.027	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0118006.txt	0.0	0.005	0.021	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0182824.txt	0.004	0.032	0.003	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0174872.txt	0.0	0.004	0.004	LY
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991916.txt	0.028	0.19	0.057	IN
1+SP+IT+NA-SP-SP-SP+DP-IT-IT-IT+NNNN+3107322.txt	0.0	0.11	0.056	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0040241.txt	0.0	0.003	0.017	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0256405.txt	0.0	0.027	0.009	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0639246.txt	0.0	0.007	0.001	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-AV+NNNN+0763332.txt	0.001	0.104	0.017	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3079800.txt	0.0	0.017	0.0	OP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0258313.txt	0.0	0.005	0.003	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0059216.txt	0.002	0.06	0.027	IP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0187252.txt	0.0	0.005	0.037	LY
1+SP+IT+NA-SP-SP-SP+PB-IT-IT-IT+NNNN+3117347.txt	0.002	0.021	0.006	SP
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+0745466.txt	0.001	0.037	0.009	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NYYY+0760309.txt	0.002	0.029	0.004	IP
1+SP+IT+IN-SP-SP-SP+OI-IT-IT-IT+NNNN+1778676.txt	0.001	0.041	0.011	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0755475.txt	0.001	0.051	0.008	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3197271.txt	0.0	0.011	0.002	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991255.txt	0.034	0.136	0.005	IN
1+LY+SL+LY-LY-LY-LY+OL-SL-SL-SL+NNNN+0493983.txt	0.0	0.008	0.016	LY
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+YNNN+0786906.txt	0.0	0.073	0.021	SP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0313083.txt	0.004	0.074	0.014	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0206178.txt	0.009	0.207	0.045	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0185531.txt	0.0	0.045	0.018	LY
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0138926.txt	0.0	0.009	0.013	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+1398997.txt	0.002	0.034	0.007	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0142755.txt	0.001	0.025	0.001	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0439177.txt	0.0	0.018	0.009	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0624820.txt	0.001	0.04	0.006	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+1735558.txt	0.0	0.264	0.107	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990017.txt	0.004	0.162	0.012	IN
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+3324105.txt	0.002	0.046	0.006	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+1433807.txt	0.001	0.04	0.005	IP
1+SP+IT+NA-SP-SP-SP+MA-IT-IT-IT+NNNN+0029910.txt	0.001	0.271	0.145	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0462621.txt	0.0	0.011	0.003	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0201415.txt	0.0	0.021	0.006	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0251593.txt	0.002	0.027	0.001	NA
