Filename	Years	Punctuation	Contractions	Register
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0473935.txt	0.001	0.065	0.048	SP
1+SP+IT+NA-SP-SP-SP+DP-IT-IT-IT+NNNN+0243881.txt	0.001	0.046	0.01	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0224810.txt	0.0	0.03	0.017	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0609979.txt	0.002	0.035	0.005	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991644.txt	0.007	0.029	0.001	IN
1+SP+IT+NA-SP-SP-SP+SR-IT-IT-IT+NNNN+1763999.txt	0.0	0.058	0.022	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NYYY+0546773.txt	0.0	0.009	0.002	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0240312.txt	0.001	0.019	0.004	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0411413.txt	0.002	0.076	0.038	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0271871.txt	0.0	0.048	0.014	NA
1+LY+SL+LY-LY-LY-LY+PO-SL-SL-SL+NNNN+0129578.txt	0.0	0.015	0.007	LY
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3067943.txt	0.001	0.047	0.006	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0118300.txt	0.0	0.267	0.062	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3264552.txt	0.001	0.016	0.011	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992629.txt	0.035	0.166	0.019	IN
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0240851.txt	0.002	0.005	0.004	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0114575.txt	0.0	0.018	0.004	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991491.txt	0.002	0.01	0.004	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3200981.txt	0.006	1.033	0.461	OP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0270844.txt	0.0	0.003	0.03	LY
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0030566.txt	0.0	0.007	0.006	LY
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+3022452.txt	0.0	0.022	0.003	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0514635.txt	0.001	0.089	0.04	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0142185.txt	0.004	0.07	0.035	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0153936.txt	0.0	0.022	0.004	NA
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0486349.txt	0.0	0.063	0.042	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0051411.txt	0.0	0.019	0.005	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0453607.txt	0.014	0.1	0.014	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992577.txt	0.0	0.023	0.002	IN
1+SP+IT+NA-SP-SP-SP+PB-IT-IT-IT+NNNN+3363682.txt	0.001	0.13	0.067	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0241839.txt	0.0	0.006	0.0	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0033245.txt	0.0	0.008	0.005	LY
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990412.txt	0.006	0.019	0.005	IN
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3698448.txt	0.0	0.093	0.026	SP
1+SP+IT+NA-SP-SP-SP+PB-IT-IT-IT+NNNN+3702060.txt	0.0	0.056	0.025	SP
1+SP+IT+NA-SP-SP-SP+PB-IT-IT-IT+NNNN+0389938.txt	0.001	0.12	0.005	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-AV+NNYN+3312602.txt	0.0	0.017	0.003	OP
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+1441747.txt	0.002	0.133	0.096	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991901.txt	0.004	0.048	0.002	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3207342.txt	0.001	0.056	0.012	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3177153.txt	0.0	0.02	0.0	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3300363.txt	0.0	0.029	0.004	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992575.txt	0.001	0.061	0.005	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990404.txt	0.001	0.018	0.0	IN
1+SP+IT+NA-SP-SP-SP+DP-IT-IT-IT+NNNN+1734478.txt	0.0	0.033	0.03	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0060010.txt	0.005	0.045	0.011	IP
1+SP+IT+OP-SP-SP-SP+OB-IT-IT-IT+YNNN+0310638.txt	0.002	0.084	0.019	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0048420.txt	0.0	0.031	0.009	LY
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+1752595.txt	0.0	0.057	0.028	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0599007.txt	0.005	0.048	0.004	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0244214.txt	0.0	0.018	0.012	NA
1+SP+IT+NA-SP-SP-SP+SR-IT-IT-IT+NNNN+0437450.txt	0.0	0.018	0.003	SP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3130574.txt	0.001	0.153	0.092	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0231613.txt	0.0	0.017	0.007	OP
1+SP+IT+OP-SP-SP-SP+RV-IT-IT-IT+NNNN+1792705.txt	0.0	0.017	0.003	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0200351.txt	0.0	0.005	0.002	LY
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990612.txt	0.0	0.117	0.022	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990969.txt	0.007	0.079	0.009	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992818.txt	0.006	0.013	0.008	IN
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0053612.txt	0.0	0.002	0.002	LY
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3167750.txt	0.0	0.05	0.007	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3009089.txt	0.011	0.058	0.014	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+YYYY+0166610.txt	0.002	0.08	0.018	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0334337.txt	0.0	0.057	0.024	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0020030.txt	0.0	0.023	0.011	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990014.txt	0.002	0.011	0.006	IN
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0084189.txt	0.0	0.003	0.0	LY
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993247.txt	0.059	0.773	0.057	IN
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0505444.txt	0.0	0.044	0.011	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NYYY+1765013.txt	0.0	0.011	0.002	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0262827.txt	0.002	0.096	0.031	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0001356.txt	0.0	0.013	0.009	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0244162.txt	0.0	0.019	0.002	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0170519.txt	0.0	0.027	0.004	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990202.txt	0.001	0.006	0.005	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0226025.txt	0.0	0.018	0.004	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991134.txt	0.027	0.231	0.027	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991652.txt	0.005	0.012	0.0	IN
1+SP+IT+OP-SP-SP-SP+OB-IT-IT-IT+NNNN+3137477.txt	0.001	0.075	0.029	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0101337.txt	0.0	0.045	0.012	NA
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0734034.txt	0.0	0.033	0.009	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0558541.txt	0.0	0.01	0.0	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0136708.txt	0.004	0.047	0.012	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991135.txt	0.011	0.066	0.008	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993722.txt	0.002	0.114	0.003	IN
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0242215.txt	0.0	0.005	0.007	LY
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0015487.txt	0.0	0.014	0.0	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0492676.txt	0.001	0.049	0.006	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3237323.txt	0.0	0.713	0.349	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993078.txt	0.003	0.012	0.008	IN
1+LY+SL+LY-LY-LY-LY+OL-SL-SL-SL+NNNN+0003397.txt	0.0	0.006	0.013	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+1464635.txt	0.002	0.027	0.0	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0660523.txt	0.015	3.514	1.228	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0154693.txt	0.016	0.025	0.0	IP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0231238.txt	0.0	0.022	0.025	LY
1+SP+IT+NA-SP-SP-SP+MA-IT-IT-IT+NNNN+1441741.txt	0.0	0.137	0.085	SP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3333365.txt	0.003	0.058	0.008	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0173919.txt	0.0	0.022	0.007	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0266671.txt	0.0	0.06	0.013	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0118465.txt	0.002	0.059	0.015	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0094376.txt	0.003	0.106	0.043	OP
1+LY+SL+LY-LY-LY-LY+OL-SL-SL-SL+NNNN+0221401.txt	0.0	0.019	0.0	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0167786.txt	0.0	0.094	0.025	IP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0759343.txt	0.0	0.183	0.02	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0256771.txt	0.001	0.042	0.026	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0219066.txt	0.0	0.021	0.007	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0513011.txt	0.001	0.087	0.033	OP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0058746.txt	0.0	0.01	0.0	LY
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0201847.txt	0.0	0.008	0.008	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0205473.txt	0.0	0.049	0.01	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0271279.txt	0.001	0.022	0.004	NA
1+LY+SL+LY-LY-LY-LY+PO-SL-SL-SL+NNNN+0229892.txt	0.0	0.048	0.031	LY
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0138831.txt	0.0	0.032	0.007	NA
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0006799.txt	0.0	0.018	0.01	LY
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992776.txt	0.043	0.243	0.009	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0238187.txt	0.0	0.008	0.001	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+1450355.txt	0.0	0.005	0.003	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0274671.txt	0.004	0.023	0.001	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991041.txt	0.03	0.397	0.006	IN
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0293706.txt	0.0	0.003	0.005	LY
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991727.txt	0.004	0.008	0.003	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3175976.txt	0.01	2.32	1.136	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992574.txt	0.011	0.041	0.01	IN
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0250937.txt	0.0	0.038	0.01	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3206061.txt	0.0	0.033	0.011	OP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0165061.txt	0.0	0.017	0.001	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991082.txt	0.001	0.009	0.002	IN
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0522994.txt	0.0	0.018	0.0	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0108420.txt	0.001	0.05	0.023	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0224907.txt	0.0	0.012	0.002	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3008962.txt	0.0	0.088	0.025	OP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3337705.txt	0.0	0.085	0.032	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0174144.txt	0.0	0.067	0.013	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0159099.txt	0.0	0.035	0.008	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3156879.txt	0.0	0.024	0.015	OP
1+SP+IT+NA-SP-SP-SP+MA-IT-IT-IT+NNNN+3366803.txt	0.0	0.082	0.024	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0594253.txt	0.0	0.06	0.016	OP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0150577.txt	0.0	0.026	0.014	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0157770.txt	0.0	0.005	0.002	LY
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+1792064.txt	0.028	0.967	0.217	IP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3175939.txt	0.0	0.198	0.044	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0296492.txt	0.0	0.026	0.002	IP
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+3089514.txt	0.003	0.055	0.054	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0698412.txt	0.0	0.041	0.028	OP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0223934.txt	0.0	0.016	0.011	LY
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0012941.txt	0.0	0.037	0.03	OP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0043261.txt	0.0	0.008	0.01	LY
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3279361.txt	0.0	0.03	0.001	OP
1+SP+IT+NA-SP-SP-SP+ON-IT-IT-IT+NNNN+0319585.txt	0.002	0.221	0.15	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992077.txt	0.025	0.072	0.013	IN
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3798809.txt	0.0	0.076	0.016	SP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0678498.txt	0.0	0.152	0.074	SP
1+LY+SL+LY-LY-LY-LY+PO-SL-SL-SL+NNNN+0765029.txt	0.0	0.004	0.013	LY
1+LY+SL+LY-LY-LY-LY+PO-SL-SL-SL+NNNN+0609859.txt	0.0	0.005	0.019	LY
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0408689.txt	0.001	0.102	0.037	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0601171.txt	0.002	0.061	0.019	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0302664.txt	0.001	0.059	0.004	IP
1+LY+SL+LY-LY-LY-LY+OL-SL-SL-SL+NNNN+0608565.txt	0.0	0.008	0.033	LY
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0233487.txt	0.0	0.031	0.018	SP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0445984.txt	0.0	0.024	0.002	IP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991378.txt	0.037	0.208	0.075	IN
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0487415.txt	0.002	0.193	0.019	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0319270.txt	0.0	0.013	0.011	OP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+1722310.txt	0.001	0.04	0.022	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+0526774.txt	0.002	0.136	0.019	IP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0098941.txt	0.0	0.057	0.013	NA
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0184429.txt	0.0	0.019	0.005	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991608.txt	0.0	0.11	0.013	IN
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0103208.txt	0.0	0.03	0.011	NA
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNYY+0385137.txt	0.003	0.048	0.02	IP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+1453016.txt	0.0	0.103	0.056	SP
1+SP+IT+NA-SP-SP-SP+MA-IT-IT-IT+NNNN+3738394.txt	0.004	0.112	0.058	SP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0228082.txt	0.001	0.011	0.003	LY
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+0324127.txt	0.0	0.004	0.0	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+1438632.txt	0.008	0.122	0.01	IP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNY+0724613.txt	0.001	0.068	0.026	IP
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+0016822.txt	0.0	0.123	0.086	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991190.txt	0.0	0.017	0.0	IN
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3379550.txt	0.001	0.137	0.041	SP
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0109240.txt	0.006	0.09	0.024	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3200927.txt	0.001	0.027	0.017	OP
1+IP+DS+IP-IP-IP-IP+DS-DS-DS-DS+NNNN+3079065.txt	0.0	0.015	0.0	IP
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+0345510.txt	0.0	0.048	0.008	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993552.txt	0.003	0.087	0.011	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991345.txt	0.055	0.436	0.066	IN
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0199197.txt	0.0	0.008	0.006	LY
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3057637.txt	0.0	0.018	0.006	OP
1+LY+SL+LY-LY-LY-LY+SL-SL-SL-SL+NNNN+0083871.txt	0.05	0.066	0.769	LY
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9992658.txt	0.01	0.054	0.012	IN
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0171338.txt	0.0	0.044	0.017	NA
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3025510.txt	0.0	0.03	0.003	OP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990932.txt	0.006	0.532	0.139	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993585.txt	0.002	0.012	0.004	IN
1+NA+NE+NA-NA-NA-NA+NE-NE-NE-NE+NNNN+0238970.txt	0.0	0.01	0.002	NA
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9990661.txt	0.046	0.315	0.032	IN
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9991219.txt	0.007	0.136	0.06	IN
1+SP+IT+SP-SP-SP-SP+IT-IT-IT-IT+NNNN+3087583.txt	0.002	0.052	0.03	SP
1+IN+EN+IN-IN-IN-IN+EN-EN-EN-EN+WIKI+9993354.txt	0.005	0.189	0.006	IN
1+SP+IT+NA-SP-SP-SP+NE-IT-IT-IT+NNNN+0160432.txt	0.002	0.091	0.043	SP
1+OP+OB+OP-OP-OP-OP+OB-OB-OB-OB+NNNN+3079455.txt	0.0	0.065	0.02	OP
